"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Employment.Private Non-farm Employment","Employment.Private Non-farm Employment Percent Change","Employment.Private Non-farm Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Housing.Units in Multi-Unit Structures","Income.Median Houseold Income","Income.Per Capita Income","Income.Persons Below Poverty Level","Miscellaneous.Building Permits","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2010 Population","Population.2014 Population","Population.Population Percent Change","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Merchant Wholesaler Sales","Sales.Retail Sales","Sales.Retail Sales per Capita","Employment.Firms.American Indian-Owned","Employment.Firms.Asian-Owned","Employment.Firms.Black-Owned","Employment.Firms.Hispanic-Owned","Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned","Employment.Firms.Total","Employment.Firms.Women-Owned"
"Wilcox County","AL","17.7","24.8","5.7","11.1","76.1","613","1738","-1.1","189","0.2","0.1","71.0","1.0","0.0","0.6","28.1","27.6","74.5","3866","5615","67000","2.9","5.7","23642","13379","39.2","0","0.1","888.5","0.9","93.8","0","21.6","52.4","462","11670","11098","-4.9","13.1","129","213","757","6018","0.0","0.0","66.2","0.0","0.0","928","37.6"
"Winston County","AL","20.0","20.9","5.0","10.4","72.7","1641","6321","-4.3","439","0.9","0.3","1.0","2.9","0.2","1.4","96.3","94.0","74.9","9489","13406","82500","2.52","5.3","32900","18995","24.0","7","1.1","612.98","1.8","83.4","7978","27.0","50.9","1721","24484","24150","-1.4","39.9","165","1656","1667","6853","0.0","0.0","0.0","0.0","0.0","2380","19.6"
"Aleutians East Borough","AK","6.6","10.1","2.8","12.0","78.5","241","0","0.0","59","20.5","40.7","12.0","13.2","0.6","3.4","22.8","11.5","54.7","435","747","118500","2.46","15.7","61250","26535","16.7","0","56.6","6981.94","63.7","77.4","0","4.8","30.9","99","3141","3360","7.0","0.4","0","0","93","3309","71.8","0.0","0.0","0.0","0.0","188","0.0"
"Aleutians West Census Area","AK","5.4","12.3","3.6","13.3","82.7","254","4668","1.9","117","13.0","34.5","7.6","14.1","2.3","4.7","37.8","26.9","36.4","1033","1932","218400","3.52","44.2","81853","31790","9.2","2","34.9","4390.28","47.4","81.5","6348","6.4","32.4","354","5561","5750","3.4","1.3","146","620","467","9823","0.0","0.0","0.0","0.0","0.0","285","26.3"
"Anchorage Municipality","AK","8.9","24.9","7.4","32.8","92.5","19252","152377","4.5","8609","8.2","9.2","6.3","8.9","2.4","7.8","66.1","59.7","60.6","105208","114332","282800","2.73","33.6","77454","36214","7.9","770","9.4","1704.68","17.3","79.5","0","19.4","48.6","30292","291826","301010","3.1","171.2","9333","29140","44827","16096","5.7","5.3","2.5","3.1","0.0","26726","30.2"
"Bethel Census Area","AK","6.6","36.1","11.1","11.7","79.5","1079","3174","0.3","232","81.7","1.1","0.8","1.8","0.2","4.1","12.1","11.5","64.2","4358","5920","189600","3.9","13.0","51689","18497","22.8","11","1.2","40570.0","66.7","85.2","0","7.4","48.3","909","17013","17868","5.0","0.4","40","34","967","5658","54.7","0.0","0.0","0.0","0.0","1238","20.8"
"Bristol Bay Borough","AK","9.7","20.1","5.2","19.4","91.7","220","299","-7.4","66","35.2","1.0","0.0","4.3","0.3","17.3","46.1","44.1","57.3","384","965","175000","2.42","12.7","79531","37024","7.9","2","0.6","503.84","5.2","83.4","0","10.2","44.3","91","997","957","-4.0","2.0","132","0","127","12823","0.0","0.0","0.0","0.0","0.0","250","0.0"
"Denali Borough","AK","8.5","18.8","4.7","28.1","88.8","155","408","0.0","103","3.7","3.6","1.8","3.7","0.1","4.8","86.0","82.7","68.9","716","1760","192500","2.26","9.8","72500","35295","11.4","0","7.4","12751.41","10.3","82.1","0","15.2","45.6","198","1826","1921","5.2","0.1","370","0","110","6120","0.0","0.0","0.0","0.0","0.0","316","0.0"
"Dillingham Census Area","AK","7.9","31.9","11.0","17.8","83.7","790","1264","-1.2","92","70.4","0.9","0.7","3.1","0.2","9.1","18.7","17.6","57.8","1339","2422","194000","3.59","15.2","54150","21498","18.1","4","1.5","18568.78","39.9","84.2","0","8.7","48.6","214","4847","4988","2.9","0.3","71","0","427","8612","58.3","0.0","0.0","0.0","0.0","789","9.1"
"Fairbanks North Star Borough","AK","8.0","24.1","7.7","29.0","93.1","5249","27466","2.2","2471","7.3","3.1","5.4","7.7","0.5","6.3","77.3","71.3","59.2","35588","41684","212500","2.67","24.9","69223","32143","8.4","54","5.7","7338.21","10.3","73.8","0","19.2","45.9","11048","97581","99357","1.8","13.3","2216","0","15742","16072","3.8","3.4","2.0","2.3","0.0","6481","32.5"
"Haines Borough","AK","16.8","19.1","3.7","30.1","96.4","395","635","-0.5","134","10.4","1.1","0.7","2.5","0.0","8.8","79.1","77.5","64.2","1245","1639","171900","2.01","15.0","52866","31096","7.8","6","5.0","2318.6","7.9","78.8","0","11.7","51.0","282","2508","2566","2.3","1.1","63","0","161","6991","0.0","0.0","0.0","0.0","0.0","489","37.2"
"Hoonah-Angoon Census Area","AK","16.5","19.4","5.2","26.9","88.4","287","216","-6.9","71","39.5","0.7","0.6","5.1","0.1","10.3","48.8","47.2","63.4","930","1755","200500","2.23","7.3","49545","28806","14.9","8","3.0","7524.92","13.7","85.9","0","9.7","46.5","172","2150","2082","-3.1","0.3","206","0","520","23610","0.0","0.0","0.0","0.0","0.0","718","20.8"
"Juneau City and Borough","AK","10.6","22.1","5.9","36.7","95.5","2572","10932","-1.0","1135","11.9","6.2","1.6","6.5","1.1","9.3","69.9","65.5","64.5","12099","13207","309900","2.58","32.2","81490","37558","6.2","204","6.5","2701.93","9.9","81.0","0","15.1","48.8","2739","31275","32406","3.6","11.6","868","0","4653","15235","5.2","3.6","1.0","0.0","0.0","3500","26.5"
"Kenai Peninsula Borough","AK","14.2","23.1","6.4","23.7","92.8","6160","14734","3.2","2058","7.3","1.4","0.8","4.0","0.3","5.7","84.5","81.4","72.7","21720","30698","204900","2.5","11.7","61793","31256","8.6","125","2.6","16075.33","8.2","83.7","0","19.1","47.6","6137","55400","57477","3.7","3.4","1312","1937","6669","12527","0.0","0.9","0.0","0.0","0.0","8698","0.0"
"Ketchikan Gateway Borough","AK","12.5","22.8","6.5","25.4","93.5","1317","4722","4.5","583","13.8","7.5","0.9","4.9","0.2","9.1","68.4","65.2","58.5","5295","6239","265600","2.5","39.4","62519","31589","10.2","37","7.3","4858.41","9.8","78.3","0","13.7","47.9","1421","13477","13787","2.3","2.8","455","0","2688","20488","2.4","3.0","0.0","0.0","0.0","1472","16.4"
"Kodiak Island Borough","AK","8.6","26.0","8.0","20.0","89.6","1551","4787","6.1","478","13.0","20.7","1.5","8.7","0.9","6.7","57.2","50.8","56.9","4501","5327","224500","2.97","29.3","68718","28562","11.7","12","14.2","6549.58","22.7","79.4","0","11.1","46.2","1097","13592","13986","2.8","2.1","262","0","1081","8274","21.5","0.0","0.0","8.8","0.0","1847","0.0"
"Lake and Peninsula Borough","AK","9.0","28.1","9.3","15.4","86.8","298","135","7.1","51","63.4","0.3","1.0","3.2","0.3","9.9","25.1","23.6","64.4","508","1501","136400","2.83","2.9","51786","21616","21.1","0","1.7","23652.01","15.8","88.0","0","6.4","47.1","79","1631","1631","-0.2","0.1","0","0","0","0","0.0","0.0","0.0","0.0","0.0","371","0.0"
"Matanuska-Susitna Borough","AK","9.6","27.3","7.2","21.3","92.4","6351","16807","1.7","2070","6.4","1.4","1.3","4.7","0.4","6.7","83.8","80.3","76.7","31123","41313","218900","2.89","11.1","71037","29534","9.9","117","3.4","24607.9","7.0","84.0","0","32.8","47.5","9600","88995","97882","10.0","3.6","1136","1369","8538","10362","4.1","1.0","0.0","0.0","0.0","7646","25.7"
"Nome Census Area","AK","7.3","34.9","11.1","17.1","84.1","572","1910","-1.5","167","74.5","1.2","0.7","2.0","0.1","6.3","17.3","16.5","55.1","2797","4045","142800","3.37","18.1","49974","20271","27.7","10","1.4","22961.76","28.7","83.5","0","6.7","47.6","600","9492","9817","3.4","0.4","101","0","631","6785","45.2","0.0","0.0","0.0","0.0","629","0.0"
"North Slope Borough","AK","4.8","25.8","8.6","14.5","86.0","255","3414","18.3","155","52.1","5.8","1.5","3.9","1.6","5.1","33.9","32.1","48.3","1990","2586","154600","3.48","26.4","80761","46457","10.3","15","5.3","88695.41","36.0","81.1","0","8.9","37.5","604","9430","9703","2.9","0.1","563","1352","701","10574","11.4","0.0","0.0","0.0","0.0","263","11.8"
"Northwest Arctic Borough","AK","6.9","36.1","11.5","11.0","78.7","219","1591","-4.3","72","78.8","0.9","1.0","2.1","0.2","6.0","13.1","12.1","56.0","1828","2704","131000","4.0","17.5","61607","21461","22.0","20","1.2","35572.58","33.9","83.1","0","7.6","45.8","367","7523","7717","2.6","0.2","0","0","415","5599","51.9","0.0","0.0","0.0","0.0","189","39.7"
"Petersburg Borough","AK","13.3","22.3","6.7","25.7","95.7","755","1079","-4.1","167","9.8","3.1","1.6","5.6","0.3","7.3","77.9","73.6","69.2","1643","1646","215100","2.2","14.5","63934","34183","13.5","9","4.6","3281.98","9.7","86.4","1289","7.7","48.2","345","3815","3160","-1.5","1.2","83","204","684","17606","0.0","0.0","0.0","0.0","0.0","1395","22.2"
"Prince of Wales-Hyder Census Area","AK","11.4","24.1","6.5","15.7","91.0","540","894","-7.8","134","42.4","0.7","0.4","3.3","0.4","9.0","47.2","45.5","70.7","2240","3319","162500","2.49","10.5","46071","24581","15.1","4","1.4","3922.87","4.8","82.2","0","14.6","45.3","492","5559","6396","3.6","1.4","109","0","415","7514","15.8","0.0","0.0","0.0","0.0","905","9.1"
"Sitka City and Borough","AK","13.2","22.2","6.1","34.1","91.2","1275","2867","-0.1","382","15.9","6.6","1.1","6.0","0.3","9.1","67.0","63.6","56.2","3554","4122","323200","2.42","27.2","69405","32521","10.0","17","7.7","2870.34","13.3","84.0","0","12.3","48.7","757","8881","8900","0.2","3.1","270","0","949","10875","12.8","0.0","0.0","0.0","0.0","1938","16.3"
"Skagway Municipality","AK","10.6","13.1","5.2","24.3","95.2","127","337","10.5","109","5.0","0.7","0.3","4.3","0.2","4.0","89.9","86.2","59.2","412","662","305600","2.23","27.6","71667","37139","5.5","2","8.9","452.33","12.2","83.0","0","4.4","47.6","47","968","1036","7.0","2.1","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0","0.0"
"Southeast Fairbanks Census Area","AK","12.0","25.6","7.7","23.1","93.1","542","1265","-0.7","172","11.6","1.3","1.5","4.9","0.5","5.2","80.0","76.2","66.5","2326","3890","175000","2.84","16.9","56801","29437","13.3","0","9.1","24768.81","23.4","76.9","0","12.2","44.4","973","7029","6931","-1.4","0.3","221","0","473","6906","0.0","0.0","0.0","0.0","0.0","567","0.0"
"Valdez-Cordova Census Area","AK","10.1","24.5","7.1","23.9","91.0","1258","2786","-2.2","461","13.5","4.0","0.9","4.7","0.7","6.9","74.0","70.7","74.5","3424","6089","177700","2.73","18.1","74878","32579","8.3","3","4.6","34239.88","8.9","80.5","5433","12.2","47.3","895","9636","9488","-1.5","0.3","231","812","796","8422","8.1","2.0","0.0","0.0","0.0","1574","18.9"
"Wade Hampton Census Area","AK","5.2","42.0","13.7","5.4","76.6","474","575","-18.3","71","91.7","0.3","0.2","1.1","0.0","2.6","5.2","4.9","71.1","1744","2183","109300","4.39","3.4","40176","11210","31.4","0","0.6","17081.43","50.0","89.5","0","6.0","47.5","351","7459","8010","7.4","0.4","0","0","395","5211","0.0","0.0","0.0","0.0","0.0","0","0.0"
"Wrangell City and Borough","AK","17.9","20.3","4.8","16.7","89.0","356","524","-3.9","86","16.9","1.9","0.4","2.2","0.0","10.3","70.6","69.2","71.4","1149","1422","157400","2.01","17.2","45841","28474","9.5","6","2.8","2541.48","6.0","86.4","0","9.5","48.2","364","2369","2364","0.0","0.9","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0","0.0"
"Yakutat City and Borough","AK","12.8","19.2","5.7","22.7","93.2","110","147","-2.6","30","36.1","4.6","2.5","3.3","1.7","15.3","39.8","37.2","49.6","254","450","147500","2.15","13.8","72500","34317","5.9","3","5.9","7649.46","19.6","81.8","0","5.4","44.6","58","662","635","-4.1","0.1","37","99","0","0","0.0","0.0","0.0","0.0","0.0","158","25.3"
"Yukon-Koyukuk Census Area","AK","13.3","27.8","8.3","9.3","80.3","337","434","-4.8","99","70.7","0.3","0.6","2.0","0.1","5.0","23.2","22.0","70.4","2056","4024","106500","2.72","2.1","34710","19729","24.2","0","1.1","145504.79","17.3","85.9","0","8.3","46.3","419","5588","5547","-0.7","0.0","54","0","415","7151","56.6","0.0","0.0","0.0","0.0","426","33.8"
"Apache County","AZ","13.5","29.3","7.6","10.4","74.5","2644","6796","-2.4","463","73.5","0.4","0.9","6.4","0.1","1.8","23.4","19.0","76.5","19055","32651","83100","3.7","5.8","31476","12709","36.2","38","1.7","11197.52","57.0","91.7","0","30.0","50.6","4109","71518","71828","0.4","6.4","477","181","2768","3997","31.0","0.0","0.0","6.2","0.0","3732","0.0"
"Cochise County","AZ","19.9","22.4","6.5","22.5","85.8","6369","26387","-3.1","2245","1.7","2.2","4.7","34.6","0.4","3.1","87.9","56.1","68.8","49174","60504","146200","2.47","13.3","45755","23608","17.1","261","11.6","6165.69","27.4","80.9","1813","18.9","49.2","18795","131346","127448","-3.0","21.3","1713","1022","13136","10284","0.7","2.3","2.5","15.5","0.0","8740","33.0"
"Coconino County","AZ","11.1","21.8","6.1","31.1","87.6","8342","44834","0.9","3518","27.3","1.8","1.6","13.9","0.2","2.8","66.4","54.9","59.5","46198","64217","220400","2.74","19.1","49555","23382","23.0","560","5.3","18618.89","23.5","79.8","15268","18.7","50.6","8084","134421","137682","2.4","7.2","7176","4756","16916","13273","7.6","2.1","0.0","5.6","0.0","11407","31.1"
"Gila County","AZ","26.6","20.4","5.7","16.1","84.3","3387","10780","-5.5","1013","16.5","0.8","0.9","18.8","0.1","1.6","80.2","63.2","75.8","20601","33099","134000","2.54","5.2","39954","20792","21.6","101","3.4","4757.93","14.4","88.3","0","20.8","50.4","6166","53597","53119","-0.9","11.3","1066","0","5507","10545","4.3","0.0","0.0","0.0","0.0","5250","28.7"
"Graham County","AZ","12.3","28.3","7.7","12.3","84.4","1314","6499","2.4","487","14.0","0.7","2.1","32.1","0.2","1.8","81.1","51.4","74.3","11031","13238","122200","3.01","9.8","44943","17168","22.3","87","5.0","4622.6","20.1","83.7","0","22.2","46.5","2695","37220","37957","2.0","8.1","346","679","3894","11211","0.0","0.0","0.0","0.0","0.0","1603","0.0"
"Greenlee County","AZ","11.6","28.1","6.8","11.1","84.3","220","4834","5.8","90","3.3","0.8","1.8","46.6","0.2","2.3","91.5","47.8","46.1","3386","4416","81000","2.54","6.6","47992","20516","16.0","1","4.7","1843.13","24.3","83.7","0","17.5","47.7","820","8437","9346","10.8","4.6","48","0","355","4587","0.0","0.0","0.0","0.0","0.0","538","0.0"
"La Paz County","AZ","36.1","17.4","4.6","9.3","75.3","793","3739","-2.7","345","17.8","0.9","1.2","25.7","0.1","2.9","77.1","59.3","74.0","10221","16209","88800","1.97","4.1","35776","22200","19.4","26","13.5","4499.63","18.8","88.7","0","12.4","48.9","3044","20489","20231","-1.3","4.6","379","659","3943","19588","2.7","0.0","0.0","0.0","0.0","1241","32.0"
"Maricopa County","AZ","13.8","25.1","6.7","29.8","86.4","275014","1491582","2.3","86045","2.8","4.1","5.7","30.3","0.3","2.8","84.4","57.0","62.5","1411727","1680068","176500","2.72","25.1","53596","27256","16.7","18597","14.9","9200.14","26.3","80.0","401820","25.4","50.6","271518","3817117","4087191","7.1","414.9","84089","497603","586883","15153","1.2","3.9","2.4","9.2","0.0","311765","27.3"
"Mohave County","AZ","26.9","18.7","4.6","11.9","83.8","10217","39476","0.1","3603","2.9","1.2","1.3","15.8","0.2","2.3","92.0","78.0","69.4","80230","112313","133900","2.43","10.2","39200","20833","19.4","535","6.9","13311.08","10.9","79.0","13499","18.9","49.7","26193","200186","203361","1.6","15.0","2742","4238","28376","14489","2.6","1.6","1.1","4.6","0.0","14568","25.9"
"Navajo County","AZ","15.8","28.0","7.3","14.9","80.6","5261","16802","-0.8","1692","44.9","0.7","1.3","11.1","0.1","2.0","51.0","42.2","72.0","34343","57408","112200","3.05","7.7","36927","16626","30.3","191","2.6","9950.42","36.8","86.6","0","22.3","49.8","7144","107449","108101","0.6","10.8","1914","2094","12374","11148","11.8","0.0","0.0","0.0","0.0","6709","24.7"
"Pima County","AZ","17.7","21.9","5.9","29.8","87.2","60686","305393","0.1","19962","4.3","3.1","4.1","36.1","0.2","2.8","85.5","53.3","62.7","384041","448843","167500","2.5","22.7","45841","25269","19.2","3250","12.8","9187.04","28.5","79.6","103652","24.0","50.8","92409","980263","1004516","2.5","106.7","21352","30567","119285","11969","1.4","3.4","1.3","14.1","0.0","75853","30.1"
"Pinal County","AZ","18.0","24.4","6.0","18.0","84.7","15902","46431","3.4","3311","6.8","1.9","4.9","29.2","0.4","2.8","83.2","57.9","74.4","123733","165710","120200","2.87","5.9","50027","20910","15.6","1744","10.1","5365.61","21.9","79.8","21498","31.1","47.8","35852","375770","401918","7.0","70.0","3419","4504","20331","6718","1.9","0.0","3.1","12.7","0.0","15591","27.0"
"Santa Cruz County","AZ","15.8","28.3","7.3","19.8","72.5","4032","10954","-0.1","1145","1.3","0.7","0.9","82.8","0.1","0.8","96.2","15.6","66.3","15078","18101","140000","3.11","17.6","37745","17664","26.3","44","33.5","1236.92","76.9","86.9","0","19.8","52.0","2223","47420","46695","-1.5","38.3","672","0","6812","15958","0.0","1.6","0.6","47.1","0.0","4599","25.0"
"Yavapai County","AZ","28.1","17.4","4.1","24.2","90.2","17762","53338","1.0","5548","2.1","1.0","0.9","14.2","0.1","2.2","93.6","80.9","70.0","91349","112523","184100","2.28","10.7","42987","25186","15.8","968","6.8","8123.5","10.4","80.7","7639","22.2","51.1","27950","211033","218844","3.7","26.0","4564","8314","26954","12714","0.8","1.0","0.0","6.9","0.0","23563","25.4"
"Yuma County","AZ","17.4","26.2","7.5","14.3","71.9","8290","39710","-0.6","2851","2.2","1.5","2.7","61.7","0.3","2.0","91.3","32.9","69.6","70122","89918","118000","2.73","12.3","41595","18840","20.2","594","25.3","5513.99","51.2","82.7","8916","18.8","48.8","15380","195751","203247","3.8","35.5","2718","0","20046","10596","2.4","2.1","0.0","33.9","0.0","10158","29.8"
"Arkansas County","AR","17.5","23.0","6.8","12.4","84.1","1285","8181","-0.9","527","0.4","1.0","24.5","3.0","0.0","1.5","72.6","70.2","67.5","7883","9441","75500","2.36","9.3","39633","23045","15.8","18","2.2","988.77","2.8","81.6","17021","15.5","51.6","1389","19019","18594","-2.2","19.2","154","1345","2863","14825","0.0","0.0","0.0","0.0","0.0","1791","29.4"
"Ashley County","AR","18.4","23.6","6.5","12.2","84.2","1078","6845","-0.9","414","0.8","0.3","25.6","5.2","0.1","1.4","71.9","67.7","75.6","8656","10106","62500","2.47","6.9","35683","19761","18.9","0","2.1","925.35","4.7","87.4","0","18.5","51.8","1370","21853","20948","-4.1","23.6","152","1073","1707","7673","0.0","0.0","0.0","0.0","0.0","1486","19.4"
"Baxter County","AR","30.0","17.8","4.4","16.5","87.6","3042","12604","-0.8","1039","0.7","0.6","0.4","2.0","0.0","1.5","96.8","95.2","76.5","18155","22633","120000","2.24","9.4","35343","21334","15.5","8","1.9","554.28","2.5","84.9","5500","17.1","51.8","5725","41513","40857","-1.6","74.9","602","0","4867","11633","0.0","0.6","0.0","0.0","0.0","4635","22.8"
"Benton County","AR","13.0","27.0","7.2","28.7","85.8","15567","98642","0.5","5454","1.9","3.4","1.9","16.2","0.4","2.3","90.0","74.9","68.6","82150","97542","147500","2.74","15.5","54515","26715","12.2","2218","10.9","847.36","15.5","82.4","0","20.1","50.5","16452","221339","242321","9.5","261.2","2957","0","23905","11332","1.3","2.3","0.9","5.2","0.0","18799","23.7"
"Boone County","AR","19.8","22.6","6.0","15.4","85.4","2722","11897","-2.8","864","0.8","0.6","0.4","2.3","0.1","1.8","96.3","94.3","72.6","15086","16904","106400","2.43","9.5","38506","22160","16.6","12","1.3","590.23","2.5","83.8","0","19.7","50.8","3280","36903","37196","0.8","62.5","418","0","4668","12738","0.0","0.0","0.0","0.0","0.0","3748","29.3"
"Bradley County","AR","18.3","23.4","6.9","10.8","76.0","525","2621","1.5","250","1.9","0.5","27.6","14.3","0.0","1.6","68.3","56.3","68.8","4789","5820","62900","2.32","11.3","30409","19386","31.3","1","6.7","649.23","10.2","89.4","1769","20.1","51.1","765","11508","11148","-3.1","17.7","62","427","715","5978","0.0","0.0","0.0","4.2","0.0","640","0.0"
"Calhoun County","AR","19.8","18.1","5.0","7.4","80.5","191","435","-2.5","66","0.5","0.2","22.0","3.9","0.0","1.6","75.7","72.3","80.0","2046","2886","58300","2.55","2.5","30980","17763","14.9","0","0.0","628.58","0.3","89.1","0","24.9","49.2","391","5368","5202","-3.1","8.5","8","0","178","3263","0.0","0.0","0.0","0.0","0.0","0","0.0"
"Carroll County","AR","21.1","22.1","5.5","17.3","84.6","2444","8142","-1.8","698","1.3","0.9","0.8","14.6","0.6","2.0","94.5","81.1","73.2","11019","13568","120000","2.47","9.3","36584","20637","18.8","10","6.8","630.09","13.6","81.0","0","19.1","50.7","2961","27446","27744","1.1","43.6","539","241","2653","9728","0.0","0.0","0.0","0.0","0.0","3078","19.1"
"Chicot County","AR","19.2","23.2","6.7","12.6","74.2","551","2207","-5.5","225","0.5","0.5","54.6","5.6","0.0","0.9","43.5","39.2","66.3","4510","5403","54700","2.41","9.7","26201","16538","33.0","6","3.3","644.3","5.0","90.1","0","21.4","50.8","905","11800","11180","-5.3","18.3","60","1205","670","5446","0.0","0.0","12.2","0.0","0.0","916","25.1"
