"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone	 not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Arlington County","VA","11.1","18.1","5.8","75.3","94.3","21303","0.6","11.0","9.7","15.6","0.1","3.6","75.0","61.4","42.7","107032","118880","705400","2.15","120071","71841","23.2","25.97","29.7","79.6","54117","29.2","49.9","12177","238643","207627","7993.6","1362362","2608839","21665","7902","11888","6403","14039","2366","18087"
"Armstrong County","PA","22.6","19.1","4.9","16.7","90.3","3529","0.1","0.3","0.9","0.8","0.0","1.0","97.6","97.0","76.0","28137","32841","109400","2.31","51410","27715","0.5","653.2","2.5","92.8","324072","30.7","50.2","5267","65558","68941","105.5","42742","551223","4749","1301","2768","27","4567","610","3859"
"Armstrong County","TX","24.9","22.6","5.9","22.8","86.9","200","1.3","0.4","1.2","9.2","-1.0","0.8","96.3","88.1","88.0","694","927","139700","2.76","72500","31749","2.2","909.11","6.4","91.8","-1","26.4","51.1","169","1848","1901","2.1","-1","-1","62","31","27","0","57","0","57"
"Aroostook County","ME","24.9","18.3","4.8","19.2","88.6","3935","1.9","0.5","1.2","1.4","0.0","1.5","94.8","93.7","72.0","29516","40048","99600","2.22","41123","25477","4.4","6671.33","15.0","89.3","1037868","18.1","50.6","6108","67105","71870","10.8","83195","1119423","6032","1479","3663","124","5708","694","5035"
"Arthur County","NE","21.4","25.3","5.2","26.2","93.7","52","0.4","0.2","-1.0","4.3","-1.0","2.2","97.2","94.2","66.5","197","253","111300","2.17","42813","25906","1.2","715.36","5.1","90.8","-1","22.8","51.0","20","434","460","0.6","-1","-1","65","0","54","0","57","0","57"
"Ascension Parish","LA","12.3","26.6","7.0","26.4","88.6","9291","0.4","1.4","24.0","6.0","0.1","1.5","72.6","67.5","81.5","43032","49462","207400","2.84","80527","34168","3.1","289.98","6.1","89.1","14208545","29.5","50.8","5018","126500","107215","369.7","167217","1538904","8748","3012","4597","2201","6243","847","7407"
"Ashe County","NC","26.6","17.4","3.9","19.7","85.1","2507","0.4","0.5","1.0","5.1","0.1","1.2","96.9","92.3","75.9","11938","17879","153200","2.21","40962","24814","3.5","426.14","5.3","93.9","232703","24.9","51.0","1464","26577","27281","64.0","23669","273003","2555","589","1646","113","2377","333","2080"
"Ashland County","OH","19.1","22.3","5.7","20.9","88.5","3514","0.3","0.7","0.9","1.5","0.1","1.3","96.7","95.5","73.8","20417","22379","128400","2.51","52823","26017","1.5","422.95","5.1","85.2","1069942","22.9","50.8","3283","52447","53139","125.6","61870","486054","4140","1287","2290","81","3934","463","3200"
"Ashland County","WI","20.2","22.0","5.8","19.8","92.2","1113","11.7","0.6","0.5","3.0","0.0","3.4","83.8","82.2","68.3","6565","9645","113100","2.29","42510","23946","1.1","1045.04","3.2","87.2","219770","16.6","49.8","1144","16027","16157","15.5","28882","214159","1553","463","762","61","1365","79","1327"
"Ashley County","AR","20.9","22.4","5.6","12.3","83.3","1063","0.8","0.3","24.7","5.7","0.1","1.3","72.9","68.5","77.5","7757","10191","76400","2.59","44744","23391","2.5","925.35","5.2","90.6","1339942","20.3","51.3","973","19062","21853","23.6","17251","185207","1193","413","647","198","929","98","995"
"Ashtabula County","OH","19.6","22.0","5.7","14.3","86.0","6139","0.3","0.5","3.8","4.4","0.0","2.3","93.0","89.3","70.5","37832","46269","112700","2.49","46700","24265","1.4","701.93","7.1","88.0","2449503","25.0","49.5","7549","97574","101497","144.6","121505","1081075","6798","1916","4193","328","6227","609","5836"
"Asotin County","WA","24.0","20.0","5.1","21.4","91.4","1033","1.8","1.0","0.8","4.4","0.3","2.9","93.2","89.8","70.7","9101","10125","198100","2.44","53715","29695","2.9","636.21","4.2","83.1","50511","16.7","51.1","2080","22285","21623","34.0","25233","285863","1274","453","579","82","1121","123","1019"
"Assumption Parish","LA","18.7","21.2","5.5","9.6","74.4","1627","0.8","0.4","29.6","3.3","0.1","1.2","68.0","65.4","78.1","8552","10939","118600","2.6","43759","25752","1.2","338.66","12.6","91.6","-1","30.9","51.4","1157","21039","23421","69.2","3947","121030","1520","463","797","445","1054","224","1260"
"Atascosa County","TX","14.9","27.2","7.2","14.4","77.1","3606","1.3","0.6","1.4","64.8","0.1","1.2","95.3","32.8","75.3","15546","18725","97900","3.16","55366","23890","6.9","1219.54","38.5","88.3","-1","30.5","50.2","3194","48981","44911","36.8","52282","564725","4106","1360","2197","1950","2029","294","3591"
"Atchison County","KS","17.6","22.8","5.6","22.0","92.7","854","0.8","0.7","4.8","3.2","0.1","2.8","90.9","88.2","69.4","5958","6947","110400","2.48","50439","24237","0.9","431.17","1.3","86.3","635032","19.4","51.4","981","16348","16924","39.3","-1","126876","925","192","469","52","759","133","667"
"Atchison County","MO","26.2","20.2","4.9","23.1","91.5","394","0.4","0.4","0.5","1.5","0.1","1.3","97.4","96.1","69.7","2562","2952","84900","2.0","50236","31248","0.9","547.3","1.1","91.2","-1","19.4","50.0","421","5305","5685","10.4","5275","109793","737","143","355","0","612","0","647"
"Athens County","OH","13.6","14.4","3.7","30.2","90.0","3260","0.4","3.1","2.8","1.9","0.1","2.4","91.2","89.7","57.8","22557","26673","129600","2.49","40905","22040","4.4","503.6","5.3","69.2","-1","20.7","50.4","3191","62431","64757","128.6","107163","695105","3704","1216","1972","184","3276","374","3033"
"Atkinson County","GA","14.5","26.2","7.0","12.2","67.2","568","1.6","1.0","17.4","25.4","1.1","2.3","76.6","56.0","73.3","2880","3517","62700","2.85","37197","20338","12.6","339.38","21.8","94.4","144824","24.6","49.2","318","8286","8375","24.7","2387","43844","479","163","307","102","368","63","405"
"Atlantic County","NJ","18.6","21.1","5.4","28.1","87.0","17834","0.7","8.1","17.1","19.4","0.1","2.7","71.3","56.0","67.1","99850","128930","217900","2.61","62110","33284","16.5","555.7","27.0","86.9","285412","24.9","51.6","12325","274534","274549","494.1","4008546","4292714","21211","7026","11850","4969","15444","1425","18637"
"Atoka County","OK","20.0","22.4","5.9","15.0","83.2","933","14.8","0.8","3.9","3.6","0.0","8.0","72.5","70.2","73.4","5284","6421","102900","2.34","39316","20443","1.5","975.52","3.4","84.9","47037","25.9","47.9","900","14143","14182","14.5","-1","129787","1173","376","642","171","955","157","967"
"Attala County","MS","19.5","24.9","6.4","13.9","77.6","1302","0.4","0.4","43.6","2.0","0.0","0.9","54.6","53.0","72.5","6941","9299","80700","2.6","33767","21276","0.9","734.98","2.3","84.5","175648","32.6","52.7","940","17889","19564","26.6","-1","192464","1213","419","646","430","681","137","952"
"Audrain County","MO","18.2","22.5","6.2","14.7","86.2","1409","0.6","0.5","6.9","3.3","0.1","2.0","89.9","87.2","68.5","9286","10931","97900","2.56","44261","23024","1.7","692.24","4.3","85.1","1124067","22.5","54.1","1714","24962","25529","36.9","17197","253719","2007","577","984","89","1819","136","1768"
"Audubon County","IA","24.7","21.1","6.1","17.1","89.5","474","0.2","0.7","0.6","1.9","0.0","1.0","97.5","95.9","76.8","2649","3012","79500","2.06","52055","30344","0.5","442.96","1.4","88.3","-1","18.5","51.3","397","5674","6119","13.8","-1","40260","636","123","420","0","614","0","551"
"Auglaize County","OH","18.9","24.0","6.4","18.9","92.7","2757","0.2","0.6","0.7","1.8","0.1","1.2","97.2","95.7","75.7","18888","20138","147300","2.39","64074","31198","0.9","401.39","1.9","88.8","2961623","19.6","50.0","2638","46422","45949","114.5","50509","491807","3456","984","2070","88","3209","317","2920"
"Augusta County","VA","21.9","18.5","4.2","22.7","87.4","4703","0.3","0.6","4.7","3.1","0.0","1.6","92.8","90.2","79.3","29539","32851","214000","2.4","62711","30272","2.6","967.0","3.4","87.3","1884187","23.9","49.2","5648","77487","73750","76.3","56499","621286","5645","1784","3051","282","5174","728","4536"
"Aurora County","SD","20.7","24.8","6.1","21.5","87.0","255","2.9","0.7","0.7","7.2","-1.0","1.5","94.2","87.8","75.3","1182","1384","85800","2.19","64083","37086","4.7","708.43","7.7","92.4","-1","17.5","47.1","175","2747","2710","3.8","1566","10838","153","41","71","0","130","0","127"
"Austin County","TX","19.8","23.8","5.8","23.9","84.0","3212","0.8","0.8","9.3","27.8","0.0","1.7","87.4","61.4","76.2","11301","13521","196300","2.61","66206","30219","10.5","646.51","20.7","91.6","-1","29.1","50.3","1319","30167","28417","44.0","28650","272438","2815","771","1660","708","2024","285","2369"
"Autauga County","AL","16.0","23.2","5.9","26.6","88.5","3350","0.5","1.2","20.1","3.0","0.1","1.9","76.3","73.8","73.3","21397","23896","154500","2.56","58731","29819","2.3","594.44","4.3","87.9","665897","24.4","51.5","5272","58805","54571","91.8","93431","607854","2949","1093","1499","616","2160","285","2401"
"Avery County","NC","22.9","14.7","3.7","20.7","83.6","1720","0.6","0.6","4.7","5.1","0.1","1.1","92.9","88.5","75.3","6551","14388","144000","2.14","40340","21167","3.2","247.09","6.3","86.4","20461","19.9","45.8","851","17806","17797","72.0","45601","195454","1481","414","918","49","1379","149","1232"
"Avoyelles Parish","LA","17.3","23.4","6.6","12.3","76.8","2472","1.2","0.5","29.8","2.1","0.1","2.0","66.4","64.9","69.5","15163","18690","104200","2.43","38565","22017","0.9","832.43","10.8","87.9","-1","31.0","49.7","2218","39693","42073","50.5","153799","354718","3090","1146","1594","536","2452","233","2702"
"Baca County","CO","24.4","22.2","5.4","21.4","86.2","346","2.1","0.4","1.1","11.3","-1.0","2.8","93.6","83.9","71.0","1662","2259","83500","2.09","35878","24061","3.2","2554.97","7.4","86.4","-1","13.0","49.8","223","3506","3788","1.5","-1","38425","443","124","273","0","424","54","376"
"Bacon County","GA","16.8","25.4","6.9","10.5","82.1","634","0.4","0.8","16.2","8.6","0.2","1.8","80.7","73.4","72.4","3874","4821","81100","2.7","37519","20326","3.3","258.58","7.1","88.5","-1","20.9","51.1","582","11140","11096","42.9","8954","72655","937","368","436","223","669","40","812"
"Bailey County","TX","14.8","30.8","8.2","17.2","76.9","413","3.4","0.9","2.1","64.0","0.1","1.4","92.1","33.0","74.6","2054","2782","69700","3.35","52273","21945","15.6","826.8","48.1","92.1","-1","16.7","49.8","249","6904","7165","8.7","7883","49021","557","88","307","191","344","25","509"
"Baker County","FL","14.1","23.9","6.2","13.2","85.7","1417","0.5","0.7","14.2","2.8","0.0","1.9","82.7","80.4","75.3","8693","10215","138900","2.92","63275","24686","1.8","585.23","4.7","81.6","-1","31.7","47.4","2063","28259","27115","46.3","23726","217349","1255","464","636","194","984","196","950"
"Baker County","GA","23.7","19.5","5.8","12.9","80.6","193","0.5","1.2","44.0","6.4","0.1","1.3","52.9","47.9","65.3","1425","1664","81800","2.2","32917","22525","5.0","341.94","7.7","94.1","-1","29.1","50.8","188","2876","3451","10.1","-1","4703","335","102","173","129","199","0","277"
"Baker County","OR","26.5","19.8","5.1","23.7","91.0","1145","1.6","0.9","0.7","4.7","0.1","3.0","93.7","89.7","70.7","6921","9096","173100","2.23","45998","28700","2.0","3068.36","4.1","81.3","105124","15.4","49.0","1899","16668","16134","5.3","27456","198861","1748","507","915","78","1598","178","1438"
"Baldwin County","AL","21.0","21.3","5.4","31.9","90.8","20047","0.8","1.1","8.8","4.7","0.1","1.9","87.4","83.2","75.2","80930","119412","197900","2.59","58320","32626","3.7","1589.78","5.4","88.3","1438760","26.9","51.5","19663","231767","182265","114.6","560602","3145789","19732","6505","10935","2130","16893","2364","16183"
"Baldwin County","GA","16.5","18.5","4.7","23.3","85.8","3229","0.3","1.7","42.5","2.3","0.1","1.3","54.0","52.4","58.5","16191","20725","120300","2.51","43672","21716","2.7","257.84","4.2","82.1","-1","22.5","49.3","2479","43799","45720","177.3","-1","554505","3709","1543","1759","1803","1771","413","3096"
"Ballard County","KY","21.9","20.9","5.0","15.9","87.2","476","0.4","0.5","3.4","1.5","0.1","2.4","93.2","92.0","80.7","3065","3924","102900","2.58","45048","25217","2.5","246.66","4.0","92.0","-1","23.1","50.3","680","7728","8249","33.4","-1","57633","638","318","253","64","542","52","554"
"Baltimore County","MD","17.6","21.6","5.9","39.4","91.5","70590","0.4","6.3","30.3","5.8","0.1","2.6","60.2","55.8","66.1","313519","338291","261500","2.58","76866","40105","12.6","598.3","14.8","87.9","8066749","29.8","52.7","42429","854535","805029","1345.5","1555794","12645701","75371","27265","41451","23329","49895","7322","65022"
"Baltimore city","MD","13.6","20.7","6.4","31.9","85.2","-1","0.3","2.6","62.4","5.3","0.0","2.5","30.5","27.5","47.5","239116","-1","160100","2.45","50379","31271","8.1","80.94","9.9","83.6","5043278","31.4","53.0","28002","585708","620961","7671.5","1607810","3647668","50735","24599","21952","27673","20782","4216","43918"
"Bamberg County","SC","22.4","18.8","4.6","18.8","80.3","854","0.4","0.5","60.3","2.3","0.1","1.1","37.6","36.2","70.6","5334","7725","75400","2.49","31422","18479","3.6","393.37","2.7","89.1","177043","26.6","52.1","739","13311","15987","40.6","9677","95285","850","364","422","395","403","116","682"
"Bandera County","TX","27.9","16.5","4.2","22.8","89.3","2548","1.3","0.6","1.1","19.8","0.0","1.6","95.3","76.7","85.0","8399","12058","174200","2.59","58661","29561","4.7","790.96","11.3","85.2","-1","37.6","50.4","2661","20851","20485","25.9","26629","81168","1907","649","985","199","1622","205","1527"
"Banks County","GA","17.7","22.2","5.8","13.4","75.9","1329","0.6","1.1","2.9","7.2","0.1","1.6","93.8","87.3","75.4","6740","7838","151100","2.78","47811","21403","4.6","232.09","6.6","94.0","-1","31.9","49.2","1207","18035","18395","79.3","47512","213696","1262","337","814","60","1156","35","1107"
"Banner County","NE","24.0","24.4","7.5","23.3","97.0","50","0.3","0.3","1.3","5.8","-1.0","0.5","97.6","91.8","69.6","283","366","139900","2.55","51750","27552","3.5","746.11","5.6","92.7","-1","27.0","51.5","45","674","690","0.9","-1","-1","37","0","0","0","37","0","34"
"Bannock County","ID","14.7","25.9","6.9","27.8","92.5","5392","3.8","1.6","1.1","8.9","0.3","2.6","90.6","83.4","67.5","31155","34852","160000","2.68","51734","25076","4.1","1111.99","7.4","80.6","916314","18.1","50.3","5084","87018","82839","74.5","135487","1155265","6403","2085","2968","348","5750","411","5383"
"Baraga County","MI","22.7","17.0","3.9","15.8","89.2","355","14.3","0.4","8.0","1.7","0.0","4.6","72.7","72.0","80.3","3107","5306","102200","2.34","46065","22920","1.5","898.26","3.2","88.1","150254","18.6","44.9","616","8158","8860","9.9","-1","53128","387","124","192","56","310","0","343"
"Barber County","KS","23.1","23.2","6.2","20.7","91.1","517","1.4","0.5","1.0","4.7","0.0","1.9","95.2","91.3","71.8","1923","2735","72300","2.38","50174","27648","1.9","1134.07","5.1","90.6","39581","16.7","48.7","287","4228","4861","4.3","5312","76391","750","205","432","0","698","154","498"
"Barbour County","AL","19.7","20.6","5.3","11.6","73.2","1329","0.7","0.5","48.2","4.5","0.2","1.2","49.2","45.5","60.9","9345","12080","90700","2.41","32525","18473","2.7","884.88","7.1","85.5","735098","22.4","47.1","1328","25223","27457","31.0","26157","206477","1687","760","755","657","941","147","1445"
"Barbour County","WV","20.7","19.7","5.0","15.6","85.3","625","0.6","0.3","1.0","1.1","0.0","1.5","96.5","95.5","72.0","6324","7913","110300","2.54","38459","22899","0.7","341.06","2.4","90.4","28633","26.7","51.1","1261","15465","16589","48.6","-1","89576","1098","327","599","0","961","102","823"
"Barnes County","ND","23.2","19.6","4.8","29.4","92.3","869","1.1","0.9","1.8","2.2","0.1","1.8","94.2","92.5","69.3","5074","6046","141400","2.0","58365","35491","2.1","1491.55","2.9","86.5","-1","17.7","49.6","750","10853","11066","7.4","14131","121730","1005","351","514","0","884","95","795"
"Barnstable County","MA","31.4","14.8","3.7","43.4","95.5","27281","0.7","1.6","3.5","3.4","0.1","2.0","92.2","89.5","79.8","94323","164674","393500","2.23","74336","44505","8.0","393.72","9.1","90.7","478632","23.9","52.2","17246","228996","215888","548.3","1000443","3856942","32628","9826","19793","1955","29839","4055","27101"
"Barnwell County","SC","18.9","23.7","5.8","12.5","79.8","1389","0.7","1.0","43.9","2.7","0.0","1.7","52.7","50.8","69.6","8360","10603","81900","2.52","35803","20297","1.6","548.39","2.4","87.4","564088","31.4","52.1","1140","20589","22621","41.2","16856","167121","1652","780","744","672","924","153","1412"
"Barren County","KY","18.0","23.5","6.5","16.3","83.0","3441","0.4","0.8","4.2","3.4","0.2","1.8","92.6","90.0","66.7","16931","19928","125400","2.55","41459","21869","1.9","487.54","4.3","85.1","929531","21.3","51.6","2059","44485","42173","86.5","71919","562843","3621","1080","1882","175","3289","401","3006"
"Barron County","WI","22.6","21.5","5.4","20.6","90.2","3120","1.1","0.7","1.6","2.6","0.0","1.3","95.3","93.0","74.7","18907","24407","153200","2.35","52703","29681","2.7","862.71","4.2","88.5","1520659","20.7","50.0","3226","46711","45870","53.2","59114","713305","4231","1035","2212","81","3968","397","3489"
"Barrow County","GA","12.7","25.7","6.7","19.0","84.5","6921","0.6","4.0","12.9","12.2","0.1","2.5","80.0","69.4","75.6","26305","29782","159700","2.99","62345","25266","7.7","160.31","13.1","88.7","889184","34.7","50.9","4161","83505","69367","432.7","-1","671608","6212","2052","3575","1285","4692","659","5310"
"Barry County","MI","18.9","21.9","5.5","21.1","92.7","3848","0.6","0.5","0.7","3.1","0.0","1.6","96.6","93.8","83.5","24296","27975","158400","2.46","64490","31760","1.7","553.09","2.5","89.7","1115663","27.9","49.6","3931","62423","59173","107.0","38485","286016","4239","1174","2490","141","3987","368","3679"
"Barry County","MO","21.0","22.7","6.0","14.6","83.6","2457","1.3","2.4","0.7","9.9","0.2","2.0","93.4","84.5","73.7","13645","17662","120600","2.58","44403","25068","5.2","778.25","8.4","84.9","1391412","22.7","49.7","2697","34534","35597","45.7","32970","379243","2637","818","1360","198","2338","326","2114"
"Bartholomew County","IN","16.5","23.7","6.5","33.5","90.6","4312","0.5","8.5","2.4","7.2","0.1","1.7","86.9","80.5","71.4","31452","34687","153500","2.59","63431","31774","10.3","406.91","12.0","83.3","5636413","19.7","49.7","3808","82208","76794","188.7","198592","1113091","4900","1507","2549","318","4185","491","3951"
